account_view,hold,legacy_id,model,month,month_end_equity,monthly_pnl,monthly_return_pct,prior_month_end_equity
FIXED_DOLLAR,8,R4,Volume-Sized Short,2024-09,86469.63317330003,-13530.366826699974,-13.530366826699975,100000.0
FIXED_DOLLAR,8,R4,Volume-Sized Short,2024-10,102706.29196730003,16236.658794000003,18.777295795228994,86469.63317330003
FIXED_DOLLAR,8,R4,Volume-Sized Short,2024-11,98489.20484010008,-4217.0871271999495,-4.105967654389275,102706.29196730003
FIXED_DOLLAR,8,R4,Volume-Sized Short,2024-12,71555.38226330011,-26933.82257679997,-27.346979418229406,98489.20484010008
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-01,102754.68747950016,31199.305216200053,43.60161909469918,71555.38226330011
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-02,126270.70705450018,23516.019575000013,22.885593009751037,102754.68747950016
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-03,141752.5176681441,15481.810613643931,12.260809315783563,126270.70705450018
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-04,164602.53472769412,22850.01705955001,16.11965518174713,141752.5176681441
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-05,173368.96149219415,8766.426764500036,5.3258151698590455,164602.53472769412
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-06,178489.31687999424,5120.355387800082,2.953444113484306,173368.96149219415
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-07,191054.90971749433,12565.592837500095,7.039969146135768,178489.31687999424
FIXED_DOLLAR,8,R4,Volume-Sized Short,2025-08,179061.2104826945,-11993.699234799831,-6.277618959143452,191054.90971749433
FIXED_DOLLAR,9,R4,Volume-Sized Short,2024-09,90807.53575730002,-9192.464242699978,-9.192464242699979,100000.0
FIXED_DOLLAR,9,R4,Volume-Sized Short,2024-10,105480.2706663,14672.734908999977,16.158058675015237,90807.53575730002
FIXED_DOLLAR,9,R4,Volume-Sized Short,2024-11,101396.87996530006,-4083.3907009999384,-3.871236464606973,105480.2706663
FIXED_DOLLAR,9,R4,Volume-Sized Short,2024-12,37335.17594570006,-64061.7040196,-63.17916689500025,101396.87996530006
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-01,67137.43635550019,29802.260409800132,79.8235434945968,37335.17594570006
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-02,91656.84057050006,24519.40421499987,36.52121014148783,67137.43635550019
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-03,107193.162564244,15536.321993743943,16.950531893791176,91656.84057050006
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-04,131937.35026639406,24744.187702150055,23.08373697559314,107193.162564244
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-05,139237.83756929397,7300.487302899914,5.53329840879746,131937.35026639406
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-06,146644.01995549398,7406.182386200002,5.319087480451709,139237.83756929397
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-07,158820.26228649414,12176.242331000161,8.303265509698667,146644.01995549398
FIXED_DOLLAR,9,R4,Volume-Sized Short,2025-08,147919.17329749413,-10901.08898900001,-6.863789816273981,158820.26228649414
FIXED_DOLLAR,10,R4,Volume-Sized Short,2024-09,89386.45382330006,-10613.546176699936,-10.613546176699936,100000.0
FIXED_DOLLAR,10,R4,Volume-Sized Short,2024-10,108951.61191180011,19565.158088500044,21.888280887813966,89386.45382330006
FIXED_DOLLAR,10,R4,Volume-Sized Short,2024-11,108246.50661580011,-705.1052959999943,-0.6471728904486518,108951.61191180011
FIXED_DOLLAR,10,R4,Volume-Sized Short,2024-12,58770.11283080015,-49476.393784999964,-45.707150587876974,108246.50661580011
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-01,94702.81573710017,35932.70290630002,61.141116080125116,58770.11283080015
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-02,122688.97831210023,27986.162575000053,29.55156333755805,94702.81573710017
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-03,136130.60983566818,13441.63152356795,10.955859041693778,122688.97831210023
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-04,163779.46924751814,27648.85941184996,20.31053812601489,136130.60983566818
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-05,170622.2801497182,6842.810902200057,4.178063913406992,163779.46924751814
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-06,183927.75439251802,13305.474242799828,7.798204449691153,170622.2801497182
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-07,197815.6514735181,13887.89708100009,7.5507348669967955,183927.75439251802
FIXED_DOLLAR,10,R4,Volume-Sized Short,2025-08,192176.32675551833,-5639.324717999785,-2.8507980415062,197815.6514735181
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2024-09,80076.93969940009,-19923.060300599915,-19.923060300599914,100000.0
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2024-10,98593.88552740004,18516.945827999953,23.12394291978503,80076.93969940009
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2024-11,97981.07681390009,-612.8087134999514,-0.621548395442481,98593.88552740004
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2024-12,56385.438155300144,-41595.63865859994,-42.45272659903956,97981.07681390009
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-01,79801.68510160016,23416.246946300016,41.52889063627667,56385.438155300144
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-02,99025.68154160018,19223.996440000017,24.08971241086555,79801.68510160016
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-03,104580.48905228422,5554.807510684041,5.6094615297855785,99025.68154160018
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-04,133876.8439074343,29296.35485515007,28.01321271361007,104580.48905228422
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-05,146623.07358683436,12746.229679400072,9.520862090394905,133876.8439074343
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-06,170939.6380958344,24316.564509000047,16.584405110426964,146623.07358683436
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-07,189895.8293913344,18956.1912955,11.089406475093,170939.6380958344
EQUITY_SCALED,8,R5,Momentum+Volume-Sized Short,2025-08,171862.53191133428,-18033.297480000125,-9.496415765318037,189895.8293913344
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2024-09,85957.23970439998,-14042.76029560002,-14.042760295600019,100000.0
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2024-10,104938.51800340004,18981.278299000056,22.08223340381234,85957.23970439998
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2024-11,103459.13785290002,-1479.3801505000156,-1.4097589509050272,104938.51800340004
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2024-12,7302.703002900125,-96156.4348499999,-92.94146157173354,103459.13785290002
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-01,10154.769320000149,2852.0663171000233,39.05494056060312,7302.703002900125
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-02,12595.90822000015,2441.1389000000017,24.039333864454203,10154.769320000149
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-03,13243.922635392162,648.0144153920119,5.144642244717819,12595.90822000015
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-04,17063.80871714215,3819.886081749988,28.842558106931122,13243.922635392162
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-05,18570.193660842157,1506.3849437000063,8.827952590600159,17063.80871714215
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-06,21953.204226842172,3383.0105660000154,18.21742211086126,18570.193660842157
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-07,24231.411556342173,2278.207329500001,10.377561771663554,21953.204226842172
EQUITY_SCALED,9,R5,Momentum+Volume-Sized Short,2025-08,22089.60624914216,-2141.805307200011,-8.838962196733558,24231.411556342173
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2024-09,84273.5127044,-15726.487295600004,-15.726487295600004,100000.0
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2024-10,108357.52021800006,24084.007513600067,28.578383338638996,84273.5127044
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2024-11,110929.46973410001,2571.9495160999504,2.3735773123319457,108357.52021800006
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2024-12,41427.923785900064,-69501.54594819996,-62.65381608223355,110929.46973410001
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-01,63816.8312190001,22388.907433100037,54.04303519724073,41427.923785900064
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-02,81908.57104400013,18091.739825000026,28.34948003437312,63816.8312190001
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-03,79915.44864374411,-1993.1224002560193,-2.433350228006471,81908.57104400013
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-04,106035.70615179412,26120.25750805001,32.68486625720112,79915.44864374411
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-05,114254.53219319416,8218.82604140004,7.750998545371575,106035.70615179412
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-06,141789.0065759942,27534.474382800036,24.099240401458832,114254.53219319416
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-07,159933.25773499443,18144.25115900024,12.796655817794678,141789.0065759942
EQUITY_SCALED,10,R5,Momentum+Volume-Sized Short,2025-08,151844.60618879442,-8088.65154620001,-5.057516904709533,159933.25773499443
FIXED_DOLLAR,8,R5,Momentum+Volume-Sized Short,2024-09,80474.23356960002,-19525.766430399977,-19.525766430399976,100000.0
FIXED_DOLLAR,8,R5,Momentum+Volume-Sized Short,2024-10,101689.95642060012,21215.7228510001,26.363373604112905,80474.23356960002
FIXED_DOLLAR,8,R5,Momentum+Volume-Sized Short,2024-11,101374.16249630012,-315.79392430000007,-0.31054583502213723,101689.95642060012
