book,side,mode,date,pnl,equity,cash,gross,target,unused_headroom,cohorts,tickets,stale_gross,overdue_tickets
L5_REC_NORM8,long,OOS,2026-05-12,1548.375,101603.58304499989,50948.781044999894,50654.802,101603.58304499989,50948.78104499989,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-13,589.6150000000052,102193.1980449999,50948.781044999894,51244.417,102193.1980449999,50948.781044999894,2,9,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-14,2171.5207349999982,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-15,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-18,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-19,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-20,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-21,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-22,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-26,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-27,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-28,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-05-29,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
L5_REC_NORM8,long,OOS,2026-06-01,0.0,104364.7187799999,102563.4167799999,1801.3020000000001,104364.7187799999,102563.4167799999,1,1,1801.3020000000001,1
