best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
2873.75,2025-03-05,8,4267.84,10,C3,2,Combined Reallocation and Substitution,8,2025-03,6,-618.62
1011.41,2025-03-12,8,-20065.23,10,C3,3,Combined Reallocation and Substitution,8,2025-03,5,-21537.92
2133.3,2025-03-19,8,4078.1,10,C3,0,Combined Reallocation and Substitution,8,2025-03,8,49.56
2399.83,2025-03-26,8,6260.47,10,C3,2,Combined Reallocation and Substitution,8,2025-03,6,-834.72
2979.04,2025-04-02,8,6225.52,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-210.09
3736.58,2025-04-09,8,13294.48,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-956.25
1547.08,2025-04-16,8,470.77,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-3030.68
2677.91,2025-04-23,7,8338.32,10,C3,0,Combined Reallocation and Substitution,8,2025-04,7,424.19
3153.0,2025-04-30,7,8174.02,10,C3,2,Combined Reallocation and Substitution,8,2025-04,5,-255.6
3949.6,2025-05-07,8,7835.21,10,C3,2,Combined Reallocation and Substitution,8,2025-05,6,-3028.14
1819.8,2025-05-14,7,-47.71,10,C3,5,Combined Reallocation and Substitution,8,2025-05,2,-1515.36
3433.01,2025-05-21,7,3807.78,10,C3,2,Combined Reallocation and Substitution,8,2025-05,5,-1137.87
3263.82,2025-05-28,8,4551.93,10,C3,4,Combined Reallocation and Substitution,8,2025-05,4,-2201.32
8847.54,2025-06-04,8,9672.89,10,C3,3,Combined Reallocation and Substitution,8,2025-06,5,-1540.13
10040.53,2025-06-11,8,11587.61,10,C3,1,Combined Reallocation and Substitution,8,2025-06,7,-6740.29
2197.8,2025-06-18,7,7019.78,10,C3,0,Combined Reallocation and Substitution,8,2025-06,7,481.43
2642.75,2025-06-25,7,1971.69,10,C3,3,Combined Reallocation and Substitution,8,2025-06,4,-1656.91
2353.92,2025-07-02,6,3001.49,10,C3,2,Combined Reallocation and Substitution,8,2025-07,4,-1428.42
1912.53,2025-07-09,8,4531.86,10,C3,1,Combined Reallocation and Substitution,8,2025-07,7,-490.9
2235.09,2025-07-16,8,8044.75,10,C3,0,Combined Reallocation and Substitution,8,2025-07,8,164.32
794.24,2025-07-23,8,1279.73,10,C3,2,Combined Reallocation and Substitution,8,2025-07,6,-1478.52
2015.04,2025-07-30,7,-3334.97,10,C3,4,Combined Reallocation and Substitution,8,2025-07,3,-5184.35
340.62,2025-08-06,8,-6510.23,10,C3,7,Combined Reallocation and Substitution,8,2025-08,1,-3683.84
1258.09,2025-08-13,7,-3701.66,10,C3,5,Combined Reallocation and Substitution,8,2025-08,2,-3361.63
3382.44,2025-08-20,8,4547.35,10,C3,3,Combined Reallocation and Substitution,8,2025-08,5,-748.17
2034.83,2025-08-27,8,5737.26,10,C3,1,Combined Reallocation and Substitution,8,2025-08,7,-951.32
1435.04,2024-09-04,8,4621.48,10,PARENT,3,Equal-Dollar Short,8,2024-09,5,-652.84
1247.4,2024-09-11,8,-9751.7,10,PARENT,5,Equal-Dollar Short,8,2024-09,3,-4793.87
1099.19,2024-09-18,8,-2845.84,10,PARENT,2,Equal-Dollar Short,8,2024-09,6,-6634.29
1792.28,2024-09-25,8,2319.64,10,PARENT,3,Equal-Dollar Short,8,2024-09,5,-2867.66
2801.04,2024-10-02,8,6758.13,10,PARENT,2,Equal-Dollar Short,8,2024-10,6,-339.14
1821.06,2024-10-09,8,3544.21,10,PARENT,2,Equal-Dollar Short,8,2024-10,6,-964.24
3665.36,2024-10-16,8,-1580.2,10,PARENT,4,Equal-Dollar Short,8,2024-10,4,-4560.67
3851.49,2024-10-23,8,8834.95,10,PARENT,1,Equal-Dollar Short,8,2024-10,7,-2.46
1657.27,2024-10-30,8,-643.17,10,PARENT,4,Equal-Dollar Short,8,2024-10,4,-2602.68
1555.89,2024-11-06,8,1521.03,10,PARENT,3,Equal-Dollar Short,8,2024-11,5,-1513.4
1289.34,2024-11-13,8,-3962.33,10,PARENT,4,Equal-Dollar Short,8,2024-11,4,-4593.15
1610.96,2024-11-20,8,-6735.03,10,PARENT,4,Equal-Dollar Short,8,2024-11,4,-4907.5
1571.17,2024-11-27,8,3983.29,10,PARENT,3,Equal-Dollar Short,8,2024-11,5,-730.75
1603.25,2024-12-04,8,-11805.14,10,PARENT,6,Equal-Dollar Short,8,2024-12,2,-7284.85
1167.26,2024-12-11,8,-29619.53,10,PARENT,4,Equal-Dollar Short,8,2024-12,4,-12690.53
1773.07,2024-12-18,8,-23551.37,10,PARENT,7,Equal-Dollar Short,8,2024-12,1,-11215.71
2777.68,2024-12-24,8,17695.83,10,PARENT,0,Equal-Dollar Short,8,2024-12,8,1505.02
2312.54,2024-12-31,8,11940.51,10,PARENT,1,Equal-Dollar Short,8,2024-12,7,-180.42
1653.0,2025-01-08,8,8574.79,10,PARENT,1,Equal-Dollar Short,8,2025-01,7,-99.89
2626.05,2025-01-15,8,6450.1,10,PARENT,2,Equal-Dollar Short,8,2025-01,6,-88.8
1675.4,2025-01-22,8,1823.59,10,PARENT,4,Equal-Dollar Short,8,2025-01,4,-1191.27
1857.26,2025-01-29,8,3495.72,10,PARENT,3,Equal-Dollar Short,8,2025-01,5,-1337.56
2257.71,2025-02-05,8,5716.2,10,PARENT,2,Equal-Dollar Short,8,2025-02,6,-103.74
2884.66,2025-02-12,8,13232.54,10,PARENT,0,Equal-Dollar Short,8,2025-02,8,68.47
1915.15,2025-02-19,8,11126.55,10,PARENT,0,Equal-Dollar Short,8,2025-02,8,479.17
2485.12,2025-02-26,8,8413.98,10,PARENT,0,Equal-Dollar Short,8,2025-02,8,193.98
3286.71,2025-03-05,8,9687.46,10,PARENT,1,Equal-Dollar Short,8,2025-03,7,-38.0
1472.83,2025-03-12,8,-9045.81,10,PARENT,4,Equal-Dollar Short,8,2025-03,4,-12144.36
1741.87,2025-03-19,8,3622.5,10,PARENT,2,Equal-Dollar Short,8,2025-03,6,-42.39
3718.88,2025-03-26,7,8692.39,10,PARENT,1,Equal-Dollar Short,8,2025-03,6,-1.41
2503.78,2025-04-02,8,2873.27,10,PARENT,2,Equal-Dollar Short,8,2025-04,6,-4337.24
2012.01,2025-04-09,8,8214.92,10,PARENT,1,Equal-Dollar Short,8,2025-04,7,-625.4
1656.98,2025-04-16,8,3318.72,10,PARENT,2,Equal-Dollar Short,8,2025-04,6,-1935.56
1842.35,2025-04-23,7,7924.19,10,PARENT,0,Equal-Dollar Short,8,2025-04,7,360.18
1690.88,2025-04-30,7,4017.88,10,PARENT,3,Equal-Dollar Short,8,2025-04,4,-291.15
3339.05,2025-05-07,8,4237.94,10,PARENT,3,Equal-Dollar Short,8,2025-05,5,-1854.93
931.8,2025-05-14,7,-1860.97,10,PARENT,5,Equal-Dollar Short,8,2025-05,2,-1343.35
2207.45,2025-05-21,7,4877.9,10,PARENT,2,Equal-Dollar Short,8,2025-05,5,-1046.73
