best_name_net,cohort_id,completed,eventual_pnl,hold,legacy_id,losers,model,positions,signal_month,winners,worst_name_net
1386.92,2025-03-26,8,4678.27,10,C2,2,Off-High Substitution,8,2025-03,6,-749.28
1437.36,2025-04-02,8,3965.48,10,C2,2,Off-High Substitution,8,2025-04,6,-163.74
3233.58,2025-04-09,8,10275.26,10,C2,2,Off-High Substitution,8,2025-04,6,-827.05
1458.32,2025-04-16,8,1593.17,10,C2,2,Off-High Substitution,8,2025-04,6,-1706.35
1650.58,2025-04-23,7,7331.15,10,C2,0,Off-High Substitution,8,2025-04,7,425.04
2676.87,2025-04-30,7,7626.53,10,C2,2,Off-High Substitution,8,2025-04,5,-286.65
4430.53,2025-05-07,8,7629.97,10,C2,2,Off-High Substitution,8,2025-05,6,-3392.79
2182.8,2025-05-14,7,-536.08,10,C2,5,Off-High Substitution,8,2025-05,2,-1817.81
2565.8,2025-05-21,7,3028.64,10,C2,2,Off-High Substitution,8,2025-05,5,-1389.66
3942.12,2025-05-28,8,5954.32,10,C2,4,Off-High Substitution,8,2025-05,4,-2662.3
6268.37,2025-06-04,8,7319.86,10,C2,3,Off-High Substitution,8,2025-06,5,-1963.04
7710.62,2025-06-11,8,9834.89,10,C2,1,Off-High Substitution,8,2025-06,7,-9330.07
3273.6,2025-06-18,7,9552.63,10,C2,0,Off-High Substitution,8,2025-06,7,716.45
3477.72,2025-06-25,7,2367.16,10,C2,3,Off-High Substitution,8,2025-06,4,-2186.54
3766.27,2025-07-02,6,4825.01,10,C2,2,Off-High Substitution,8,2025-07,4,-2306.22
2902.28,2025-07-09,8,6625.94,10,C2,1,Off-High Substitution,8,2025-07,7,-745.2
3114.54,2025-07-16,8,10565.48,10,C2,0,Off-High Substitution,8,2025-07,8,228.99
1293.36,2025-07-23,8,3010.21,10,C2,2,Off-High Substitution,8,2025-07,6,-1481.48
3334.08,2025-07-30,7,-5620.49,10,C2,4,Off-High Substitution,8,2025-07,3,-8577.67
673.62,2025-08-06,8,-12160.68,10,C2,7,Off-High Substitution,8,2025-08,1,-7311.01
1887.14,2025-08-13,7,-5312.44,10,C2,5,Off-High Substitution,8,2025-08,2,-4878.28
3354.78,2025-08-20,8,5140.6,10,C2,3,Off-High Substitution,8,2025-08,5,-1244.65
2981.93,2025-08-27,8,8234.38,10,C2,1,Off-High Substitution,8,2025-08,7,-1395.36
1787.84,2024-09-04,8,4932.47,10,C3,3,Combined Reallocation and Substitution,8,2024-09,5,-285.52
612.36,2024-09-11,8,-13327.87,10,C3,5,Combined Reallocation and Substitution,8,2024-09,3,-8509.44
780.66,2024-09-18,8,-2392.89,10,C3,2,Combined Reallocation and Substitution,8,2024-09,6,-5987.82
1383.51,2024-09-25,8,3002.81,10,C3,3,Combined Reallocation and Substitution,8,2024-09,5,-1106.82
2105.19,2024-10-02,8,5062.58,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-301.3
743.02,2024-10-09,8,1625.5,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-1502.22
6735.65,2024-10-16,8,7577.8,10,C3,4,Combined Reallocation and Substitution,8,2024-10,4,-3188.01
3158.23,2024-10-23,8,4407.69,10,C3,2,Combined Reallocation and Substitution,8,2024-10,6,-2133.56
3205.36,2024-10-30,8,1729.39,10,C3,4,Combined Reallocation and Substitution,8,2024-10,4,-2515.76
3335.91,2024-11-06,7,5458.97,10,C3,2,Combined Reallocation and Substitution,8,2024-11,5,-1506.78
1513.98,2024-11-13,8,-3609.93,10,C3,4,Combined Reallocation and Substitution,8,2024-11,4,-2693.61
3516.78,2024-11-20,8,-962.66,10,C3,4,Combined Reallocation and Substitution,8,2024-11,4,-3044.43
2587.11,2024-11-27,8,5955.6,10,C3,2,Combined Reallocation and Substitution,8,2024-11,6,-727.1
3879.6,2024-12-04,8,-27809.4,10,C3,6,Combined Reallocation and Substitution,8,2024-12,2,-17651.75
976.53,2024-12-11,8,-58563.63,10,C3,5,Combined Reallocation and Substitution,8,2024-12,3,-29582.28
472.82,2024-12-18,8,-5144.2,10,C3,7,Combined Reallocation and Substitution,8,2024-12,1,-1962.75
4314.93,2024-12-24,8,10247.53,10,C3,0,Combined Reallocation and Substitution,8,2024-12,8,463.46
1481.65,2024-12-31,8,4333.61,10,C3,1,Combined Reallocation and Substitution,8,2024-12,7,-197.17
2022.75,2025-01-08,8,5145.63,10,C3,1,Combined Reallocation and Substitution,8,2025-01,7,-40.01
1809.6,2025-01-15,8,4223.21,10,C3,2,Combined Reallocation and Substitution,8,2025-01,6,-85.59
1333.95,2025-01-22,8,2153.1,10,C3,3,Combined Reallocation and Substitution,8,2025-01,5,-207.0
1058.45,2025-01-29,8,1935.7,10,C3,2,Combined Reallocation and Substitution,8,2025-01,6,-627.23
1376.48,2025-02-05,8,2096.15,10,C3,3,Combined Reallocation and Substitution,8,2025-02,5,-260.42
1289.24,2025-02-12,8,4401.59,10,C3,1,Combined Reallocation and Substitution,8,2025-02,7,-2.87
2058.82,2025-02-19,8,7375.7,10,C3,0,Combined Reallocation and Substitution,8,2025-02,8,233.1
1678.98,2025-02-26,8,6607.59,10,C3,0,Combined Reallocation and Substitution,8,2025-02,8,63.62
2094.86,2025-03-05,8,3111.81,10,C3,2,Combined Reallocation and Substitution,8,2025-03,6,-450.86
813.66,2025-03-12,8,-16148.15,10,C3,3,Combined Reallocation and Substitution,8,2025-03,5,-17333.64
1741.87,2025-03-19,8,3339.79,10,C3,0,Combined Reallocation and Substitution,8,2025-03,8,40.49
1750.47,2025-03-26,8,4563.59,10,C3,2,Combined Reallocation and Substitution,8,2025-03,6,-609.6
2121.26,2025-04-02,8,4439.95,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-150.15
2802.44,2025-04-09,8,9963.3,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-716.55
1287.12,2025-04-16,8,394.02,10,C3,2,Combined Reallocation and Substitution,8,2025-04,6,-2521.32
2417.65,2025-04-23,7,7541.85,10,C3,0,Combined Reallocation and Substitution,8,2025-04,7,383.63
2902.49,2025-04-30,7,7524.41,10,C3,2,Combined Reallocation and Substitution,8,2025-04,5,-235.35
3871.68,2025-05-07,8,7682.12,10,C3,2,Combined Reallocation and Substitution,8,2025-05,6,-2964.72
1994.4,2025-05-14,7,-52.11,10,C3,5,Combined Reallocation and Substitution,8,2025-05,2,-1660.28
3755.53,2025-05-21,7,4166.71,10,C3,2,Combined Reallocation and Substitution,8,2025-05,5,-1244.4
3630.9,2025-05-28,8,5093.96,10,C3,4,Combined Reallocation and Substitution,8,2025-05,4,-2455.19
9304.61,2025-06-04,8,10179.47,10,C3,3,Combined Reallocation and Substitution,8,2025-06,5,-1621.71
11461.46,2025-06-11,8,13215.2,10,C3,1,Combined Reallocation and Substitution,8,2025-06,7,-7700.73
3072.3,2025-06-18,7,9809.31,10,C3,0,Combined Reallocation and Substitution,8,2025-06,7,673.05
3544.68,2025-06-25,7,2641.88,10,C3,3,Combined Reallocation and Substitution,8,2025-06,4,-2225.91
3295.48,2025-07-02,6,4222.79,10,C3,2,Combined Reallocation and Substitution,8,2025-07,4,-2002.98
2761.68,2025-07-09,8,6543.05,10,C3,1,Combined Reallocation and Substitution,8,2025-07,7,-708.87
3088.8,2025-07-16,8,11128.22,10,C3,0,Combined Reallocation and Substitution,8,2025-07,8,227.25
1220.6,2025-07-23,8,1965.77,10,C3,2,Combined Reallocation and Substitution,8,2025-07,6,-2271.8
3119.04,2025-07-30,7,-5160.63,10,C3,4,Combined Reallocation and Substitution,8,2025-07,3,-8024.55
568.37,2025-08-06,8,-10899.59,10,C3,7,Combined Reallocation and Substitution,8,2025-08,1,-6177.52
